ticker,asof,quintile,composite,close,distPct,rsi,adx,stop,t1,t2,size,signals
GUNKUL.BK,2026-07-07,1,3.2925,4.480000019073486,8.51,74.1,47.8,3.8399999141693115,5.120000123977661,5.4400001764297485,23436,trend
STECON.BK,2026-07-07,1,3.0896,18.0,2.94,61.2,43.0,17.100000381469727,18.899999618530273,19.34999942779541,16666,trend
TFG.BK,2026-07-07,1,2.3596,10.600000381469727,7.09,61.3,32.1,9.300000190734863,11.90000057220459,12.550000667572021,11538,trend
KCE.BK,2026-07-07,1,1.8911,39.25,1.71,54.4,27.1,37.0,41.5,42.625,6666,trend
IRPC.BK,2026-07-07,1,1.7449,1.8700000047683716,3.62,57.5,18.6,1.6299999952316284,2.1100000143051147,2.2300000190734863,62499,trend
KKP.BK,2026-07-07,1,1.6519,104.0,7.41,79.9,61.2,95.0,113.0,117.5,1666,trend
SCGP.BK,2026-07-07,1,1.0322,29.25,6.63,72.1,49.5,26.75,31.75,33.0,6000,trend
KTB.BK,2026-07-07,1,0.9511,39.25,5.23,73.7,51.9,36.0,42.5,44.125,4614,trend
AOT.BK,2026-07-07,1,0.9181,64.25,4.7,72.2,41.5,58.25,70.25,73.25,2499,trend
STGT.BK,2026-07-07,1,0.8393,10.699999809265137,2.37,54.8,29.2,9.850000381469727,11.549999237060547,11.974998950958252,17646,trend
TOP.BK,2026-07-07,1,0.6887,52.25,9.28,78.4,24.9,44.25,60.25,64.25,1875,breakout|trend
BLA.BK,2026-07-07,1,0.6716,26.25,6.26,67.4,39.8,23.799999237060547,28.700000762939453,29.92500114440918,6121,trend
PTTGC.BK,2026-07-07,1,0.6427,34.25,1.98,53.5,16.4,30.75,37.75,39.5,4285,trend
CK.BK,2026-07-07,1,0.6357,19.399999618530273,0.57,53.9,24.3,19.0,19.799999237060547,19.999999046325684,37500,trend
SPRC.BK,2026-07-07,1,0.6223,8.050000190734863,7.91,76.7,22.7,7.0,9.100000381469727,9.625000476837158,14284,breakout|trend
GULF.BK,2026-07-07,2,0.5567,62.5,0.07,50.7,19.5,59.25,65.75,67.375,3845,trend
STA.BK,2026-07-07,2,0.5135,17.799999237060547,0.75,49.7,25.8,16.5,19.099998474121094,19.749998092651367,9615,reclaim|trend
BA.BK,2026-07-07,2,0.5084,18.700000762939453,5.06,72.3,45.9,17.200000762939453,20.200000762939453,20.950000762939453,8332,trend
PRM.BK,2026-07-07,2,0.4545,9.0,2.2,60.0,19.6,8.649999618530273,9.350000381469727,9.52500057220459,35713,trend
COM7.BK,2026-07-07,2,0.4317,28.75,4.01,64.7,39.3,26.5,31.0,32.125,5555,trend
BGRIM.BK,2026-07-07,2,0.398,18.100000381469727,8.26,72.0,52.5,16.5,19.700000762939453,20.500000953674316,7811,trend
GPSC.BK,2026-07-07,2,0.3743,48.0,8.87,80.7,42.0,42.75,53.25,55.875,2380,trend
TCAP.BK,2026-07-07,2,0.373,70.75,7.47,84.0,53.6,64.25,77.25,80.5,1922,trend
KBANK.BK,2026-07-07,2,0.3515,230.0,6.55,76.7,48.1,208.0,252.0,263.0,567,trend
KTC.BK,2026-07-07,2,0.3398,37.25,12.51,87.8,45.8,31.5,43.0,45.875,2173,trend
AWC.BK,2026-07-07,2,0.1994,2.5999999046325684,0.71,55.9,33.3,2.5199999809265137,2.679999828338623,2.7199997901916504,156250,trend
ERW.BK,2026-07-07,2,0.1906,3.0999999046325684,2.86,59.8,31.7,2.880000114440918,3.3199996948242188,3.429999589920044,56817,trend
TTB.BK,2026-07-07,2,0.1644,2.559999942779541,4.68,78.7,40.4,2.380000114440918,2.739999771118164,2.8299996852874756,69443,trend
RATCH.BK,2026-07-07,2,0.1124,35.5,11.4,84.1,27.4,30.0,41.0,43.75,2272,trend
CRC.BK,2026-07-07,2,0.111,23.399999618530273,2.35,65.6,43.4,22.899999618530273,23.899999618530273,24.149999618530273,25000,trend
BBL.BK,2026-07-07,2,0.0941,193.5,7.03,76.0,40.4,174.5,212.5,222.0,657,breakout|trend
CPN.BK,2026-07-07,2,0.0919,67.5,1.64,61.2,20.1,64.75,70.25,71.625,4545,trend
ADVANC.BK,2026-07-07,3,0.0362,376.0,3.5,65.1,21.4,349.0,403.0,416.5,370,trend
MEGA.BK,2026-07-07,3,0.0131,37.75,4.3,64.4,19.2,34.25,41.25,43.0,2857,trend
CENTEL.BK,2026-07-07,3,-0.0057,36.75,2.16,59.2,15.5,35.5,38.0,38.625,8000,trend
RCL.BK,2026-07-07,3,-0.0175,32.0,0.41,51.6,30.4,31.25,32.75,33.125,13333,trend
BH.BK,2026-07-07,3,-0.0221,190.0,1.8,60.3,24.3,183.0,197.0,200.5,1428,trend
SCB.BK,2026-07-07,3,-0.0379,153.0,4.93,75.5,45.8,142.0,164.0,169.5,909,trend
TOA.BK,2026-07-07,3,-0.0913,15.300000190734863,9.55,78.5,42.1,13.399999618530273,17.200000762939453,18.150001049041748,5263,breakout|trend
ICHI.BK,2026-07-07,3,-0.0955,14.300000190734863,4.24,74.2,42.4,13.600000381469727,15.0,15.349999904632568,14285,trend
TISCO.BK,2026-07-07,3,-0.1608,121.5,3.12,73.0,51.1,116.0,127.0,129.75,1818,trend
BANPU.BK,2026-07-07,3,-0.1681,5.599999904632568,2.36,57.9,15.2,5.199999809265137,6.0,6.200000047683716,24999,trend
TLI.BK,2026-07-07,3,-0.1683,11.899999618530273,4.41,66.1,22.9,11.0,12.799999237060547,13.249999046325684,11111,trend
PTT.BK,2026-07-07,3,-0.2178,36.5,1.62,56.2,18.2,34.5,38.5,39.5,5000,trend
BTG.BK,2026-07-07,3,-0.2262,21.5,3.77,60.9,24.5,19.899999618530273,23.100000381469727,23.90000057220459,6249,trend
TIDLOR.BK,2026-07-07,3,-0.2674,19.600000381469727,4.41,68.8,29.0,18.899999618530273,20.30000114440918,20.650001525878906,14285,trend
EGCO.BK,2026-07-07,3,-0.3585,125.0,4.5,69.9,17.4,116.0,134.0,138.5,1111,trend
BCP.BK,2026-07-07,4,-0.369,35.25,3.63,60.7,20.1,32.0,38.5,40.125,2307,trend
SIRI.BK,2026-07-07,4,-0.3737,1.4600000381469727,1.37,58.3,21.3,1.409999966621399,1.5100001096725464,1.5350001454353333,149999,trend
BEM.BK,2026-07-07,4,-0.4004,6.0,1.51,58.1,59.2,5.900000095367432,6.099999904632568,6.1499998569488525,75000,trend
PLANB.BK,2026-07-07,4,-0.4383,4.880000114440918,8.04,67.0,32.2,4.099999904632568,5.660000324249268,6.050000429153442,9615,trend
QH.BK,2026-07-07,4,-0.5085,1.3799999952316284,1.45,58.8,23.4,1.3300000429153442,1.4299999475479126,1.4549999237060547,150000,trend
CPALL.BK,2026-07-07,4,-0.5636,47.75,2.11,58.6,18.9,45.0,50.5,51.875,2727,trend
