ticker,close,buy,stop,riskU,t1,t2,size,distPct,rsi,adx,signals,comp,size_base,size_mult,regime_mult,quintile,validated,validate_reason,validated_at
GUNKUL.BK,5.05,5.05,4.24,0.81,5.86,6.265,1000,13.4242,84.024,56.2921,breakout,3.0,700,1.5,1.0,1,False,"not-green, no-fresh-dip",2026-07-15 17:00
BEM.BK,6.45,6.45,5.9,0.55,7.0,7.275,1100,7.568,71.1762,54.6068,dip|breakout,-0.287,1100,1.0,1.0,3,True,confirmed,2026-07-15 17:00
SPRC.BK,8.8,8.8,7.45,1.35,10.15,10.825,500,12.3134,77.4358,34.8691,breakout,0.425,400,1.25,1.0,2,False,no-fresh-dip,2026-07-15 17:00
BCP.BK,40.0,40.0,34.0,6.0,46.0,49.0,100,12.3695,80.963,29.5986,breakout,-0.28,100,1.0,1.0,3,False,no-fresh-dip,2026-07-15 17:00
TOP.BK,56.5,56.5,48.5,8.0,64.5,68.5,0,14.0095,77.152,26.2653,breakout,0.379,0,1.25,1.0,2,False,no-fresh-dip,2026-07-15 17:00
AWC.BK,2.8,2.8,2.46,0.34,3.14,3.31,2200,7.379,67.4366,25.7503,dip|breakout,0.178,1800,1.25,1.0,2,True,confirmed,2026-07-15 17:00
PRM.BK,9.25,9.25,8.8,0.45,9.7,9.925,1600,3.5366,66.3673,21.1479,dip|breakout,0.393,1300,1.25,1.0,2,True,confirmed,2026-07-15 17:00
PTT.BK,38.75,38.75,35.25,3.5,42.25,44.0,100,5.4121,72.1574,20.975,breakout,-0.194,100,1.0,1.0,3,False,no-fresh-dip,2026-07-15 17:00
IVL.BK,23.7,23.7,22.4,1.3,25.0,25.65,300,4.1671,62.2013,16.2258,breakout,-0.385,400,0.75,1.0,4,False,"no-fresh-dip, adx 16<20",2026-07-15 17:00
PTTGC.BK,35.5,35.5,32.75,2.75,38.25,39.625,200,4.2286,62.2895,14.7281,breakout,0.488,200,1.25,1.0,2,False,"no-fresh-dip, adx 15<20",2026-07-15 17:00
