ticker,asof,quintile,composite,close,distPct,rsi,adx,stop,t1,t2,size,signals
GUNKUL.BK,2026-07-22,1,2.9626,5.199999809265137,9.11,73.3,62.1,4.679999828338623,5.71999979019165,5.979999780654907,2800,trend
STECON.BK,2026-07-22,1,2.9083,19.0,4.66,59.9,32.1,17.399999618530273,20.600000381469727,21.40000057220459,900,trend
IRPC.BK,2026-07-22,1,1.8026,2.299999952316284,16.39,80.8,36.1,1.840000033378601,2.7599998712539673,2.989999830722809,3100,breakout|trend
KKP.BK,2026-07-22,1,1.7138,110.0,5.76,69.9,58.5,101.0,119.0,123.5,100,trend
KCE.BK,2026-07-22,1,1.6987,41.75,1.65,54.5,18.9,37.75,45.75,47.75,300,trend
AMATA.BK,2026-07-22,1,1.5947,29.0,5.52,64.8,33.9,25.75,32.25,33.875,400,trend
HANA.BK,2026-07-22,1,1.5558,39.0,3.79,56.0,8.6,35.0,43.0,45.0,300,trend
SCGP.BK,2026-07-22,1,1.1553,30.25,5.38,65.7,38.3,27.25,33.25,34.75,400,trend
CCET.BK,2026-07-22,1,1.1019,9.050000190734863,1.71,53.9,14.4,8.350000381469727,9.75,10.099999904632568,2100,trend
TOP.BK,2026-07-22,1,1.0489,64.25,16.98,80.2,39.4,48.5,80.0,87.875,0,trend
SPRC.BK,2026-07-22,1,0.9741,9.850000381469727,16.18,84.9,48.5,8.0,11.700000762939453,12.625000953674316,700,breakout|trend
KTB.BK,2026-07-22,1,0.9372,40.75,1.91,61.7,61.4,39.0,42.5,43.375,700,trend
WHA.BK,2026-07-22,1,0.8467,5.5,3.85,66.8,37.8,4.980000019073486,6.019999980926514,6.2799999713897705,2800,trend
BGRIM.BK,2026-07-22,1,0.8197,19.700000762939453,6.31,65.6,49.9,18.0,21.400001525878906,22.250001907348633,700,trend
PTTGC.BK,2026-07-22,1,0.8092,40.25,13.21,81.3,22.1,33.5,47.0,50.375,100,breakout|trend
GPSC.BK,2026-07-22,1,0.7062,54.0,9.67,80.7,51.2,46.25,61.75,65.625,100,trend
AOT.BK,2026-07-22,1,0.6199,63.5,0.96,58.8,33.3,62.5,64.5,65.0,1500,trend
JMART.BK,2026-07-22,1,0.5847,11.100000381469727,3.12,58.2,36.7,9.350000381469727,12.850000381469727,13.725000381469727,700,trend
PRM.BK,2026-07-22,2,0.5637,9.800000190734863,7.16,73.2,30.0,8.899999618530273,10.700000762939453,11.150001049041748,1300,breakout|trend
GULF.BK,2026-07-22,2,0.4936,66.5,3.49,60.9,17.1,61.75,71.25,73.625,200,trend
TTB.BK,2026-07-22,2,0.4825,2.880000114440918,8.29,79.3,59.8,2.5799999237060547,3.1800003051757812,3.330000400543213,4100,trend
STA.BK,2026-07-22,2,0.4648,19.200000762939453,4.88,63.1,27.4,17.799999237060547,20.60000228881836,21.300003051757812,800,dip|trend
KTC.BK,2026-07-22,2,0.4131,39.25,6.65,72.8,59.9,36.25,42.25,43.75,300,trend
COM7.BK,2026-07-22,2,0.3855,30.0,3.57,64.7,37.6,27.75,32.25,33.375,500,trend
RATCH.BK,2026-07-22,2,0.3019,39.25,9.96,83.7,56.8,34.25,44.25,46.75,200,breakout|trend
AWC.BK,2026-07-22,2,0.2939,2.7799999713897705,3.56,62.1,24.2,2.5,3.059999942779541,3.1999999284744263,4300,trend
TCAP.BK,2026-07-22,2,0.2862,70.25,0.27,55.4,64.5,69.5,71.0,71.375,1600,trend
KBANK.BK,2026-07-22,2,0.2704,233.0,2.41,64.8,58.5,227.0,239.0,242.0,100,trend
BCP.BK,2026-07-22,2,0.2338,44.75,15.32,86.7,44.4,35.25,54.25,59.0,100,trend
ERW.BK,2026-07-22,2,0.1956,3.259999990463257,6.26,65.2,22.5,2.940000057220459,3.5799999237060547,3.7399998903274536,3800,dip|breakout|trend
SCC.BK,2026-07-22,2,0.1876,259.0,4.14,68.0,27.3,235.0,283.0,295.0,0,breakout|trend
CRC.BK,2026-07-22,2,0.1245,23.5,1.4,57.4,24.3,22.299999237060547,24.700000762939453,25.30000114440918,1000,trend
BEM.BK,2026-07-22,2,-0.0047,6.75,7.61,73.4,59.8,5.900000095367432,7.599999904632568,8.024999856948853,1300,trend
ICHI.BK,2026-07-22,2,-0.0195,14.800000190734863,3.26,69.7,46.0,14.0,15.600000381469727,16.000000476837158,1500,trend
TISCO.BK,2026-07-22,3,-0.0244,129.5,4.21,69.9,68.0,122.0,137.0,140.75,100,trend
CENTEL.BK,2026-07-22,3,-0.0468,37.75,2.52,60.0,13.9,35.0,40.5,41.875,300,trend
JMT.BK,2026-07-22,3,-0.0556,12.100000381469727,1.43,55.0,25.0,11.0,13.200000762939453,13.750000953674316,900,trend
ADVANC.BK,2026-07-22,3,-0.0726,378.0,1.22,57.1,32.9,372.0,384.0,387.0,100,trend
RCL.BK,2026-07-22,3,-0.0986,34.25,4.84,62.4,36.3,31.75,36.75,38.0,400,trend
PTTEP.BK,2026-07-22,3,-0.119,148.5,5.1,69.9,33.7,138.0,159.0,164.25,0,trend
MEGA.BK,2026-07-22,3,-0.1218,38.25,2.77,63.6,22.1,36.75,39.75,40.5,600,trend
PTT.BK,2026-07-22,3,-0.1315,39.5,4.7,73.7,28.8,36.75,42.25,43.625,300,trend
BANPU.BK,2026-07-22,3,-0.1685,5.800000190734863,2.51,64.5,19.1,5.550000190734863,6.050000190734863,6.175000190734863,4000,trend
TOA.BK,2026-07-22,3,-0.1719,15.300000190734863,2.71,61.7,47.5,14.699999809265137,15.90000057220459,16.200000762939453,1600,trend
PLANB.BK,2026-07-22,3,-0.1892,5.5,6.53,66.6,44.7,4.760000228881836,6.239999771118164,6.609999656677246,1300,trend
TRUE.BK,2026-07-22,3,-0.216,14.199999809265137,4.32,64.6,20.9,12.899999618530273,15.5,16.15000009536743,700,trend
EGCO.BK,2026-07-22,3,-0.2287,135.5,7.25,73.5,26.8,120.0,151.0,158.75,0,trend
BTG.BK,2026-07-22,3,-0.2586,21.200000762939453,0.65,53.5,24.2,20.899999618530273,21.500001907348633,21.650002479553223,3300,trend
