ticker,close,buy,stop,riskU,t1,t2,size,distPct,rsi,adx,signals,comp,size_base,size_mult,regime_mult,quintile,validated,validate_reason,validated_at
TCAP.BK,74.25,74.25,70.25,4.0,78.25,80.25,200,6.5659,79.1265,65.2385,breakout,0.355,200,1.25,1.0,2,False,no-fresh-dip,2026-07-20 17:11
TISCO.BK,132.5,132.5,120.5,12.0,144.5,150.5,0,7.7595,84.7865,65.1443,breakout,-0.057,0,1.0,1.0,3,False,no-fresh-dip,2026-07-20 17:11
KTB.BK,42.25,42.25,38.75,3.5,45.75,47.5,300,6.6097,82.5766,60.5038,breakout,0.998,200,1.5,1.0,1,False,no-fresh-dip,2026-07-20 17:11
KTC.BK,40.25,40.25,36.0,4.25,44.5,46.625,200,11.3961,85.778,59.2047,breakout,0.446,200,1.25,1.0,2,False,no-fresh-dip,2026-07-20 17:11
BEM.BK,6.85,6.85,5.9,0.95,7.8,8.275,1000,10.8947,78.6535,58.137,breakout,-0.022,1000,1.0,1.0,3,False,no-fresh-dip,2026-07-20 17:11
KKP.BK,109.0,109.0,100.0,9.0,118.0,122.5,100,6.5826,78.2406,56.513,breakout,1.488,100,1.5,1.0,1,False,no-fresh-dip,2026-07-20 17:11
TTB.BK,2.98,2.98,2.54,0.44,3.42,3.64,2700,14.3414,94.3743,55.6987,breakout,0.311,2200,1.25,1.0,2,False,no-fresh-dip,2026-07-20 17:11
BCP.BK,43.75,43.75,35.0,8.75,52.5,56.875,100,16.7075,87.4524,38.665,breakout,0.102,100,1.25,1.0,2,False,no-fresh-dip,2026-07-20 17:11
OSP.BK,17.9,17.9,16.9,1.0,18.9,19.4,700,4.1146,69.4041,38.1334,dip,-0.532,1000,0.75,1.0,4,True,confirmed,2026-07-20 17:11
SCGP.BK,30.5,30.5,26.5,4.0,34.5,36.5,300,7.4468,66.7418,37.1445,breakout,0.805,200,1.5,1.0,1,False,no-fresh-dip,2026-07-20 17:11
TOP.BK,63.0,63.0,48.5,14.5,77.5,84.75,0,19.4906,84.6335,34.1895,breakout,0.978,0,1.5,1.0,1,False,"not-green, no-fresh-dip",2026-07-20 17:11
RCL.BK,33.25,33.25,31.75,1.5,34.75,35.5,300,3.1343,59.7499,32.9301,dip,-0.336,600,0.75,1.0,4,True,confirmed,2026-07-20 17:11
STECON.BK,18.7,18.7,17.4,1.3,20.0,20.65,100,4.5729,61.4241,30.851,dip,2.81,700,1.5,1.0,1,True,confirmed,2026-07-20 17:11
PTTEP.BK,147.0,147.0,132.0,15.0,162.0,169.5,0,5.0763,67.532,30.8035,breakout,-0.167,0,1.0,1.0,3,,insufficient data,2026-07-21 17:00
CRC.BK,23.8,23.8,22.0,1.8,25.6,26.5,0,3.1545,62.623,26.0563,dip,0.075,500,1.25,1.0,2,True,confirmed,2026-07-20 17:11
TIDLOR.BK,20.1,20.1,18.6,1.5,21.6,22.35,0,5.288,67.4347,23.3723,dip|breakout,-0.265,600,1.0,1.0,3,True,confirmed,2026-07-20 17:11
AURA.BK,14.8,14.8,13.6,1.2,16.0,16.6,0,4.2672,63.7168,23.347,dip,-0.707,800,0.5,1.0,5,True,confirmed,2026-07-20 17:11
