ticker,close,buy,stop,riskU,t1,t2,size,distPct,rsi,adx,signals,validated,validate_reason,validated_at
KTB.BK,42.5,42.5,39.0,3.5,46.0,47.75,0,6.5061,83.3911,61.926,breakout,False,"not-green, no-fresh-dip",2026-07-21 21:38
KKP.BK,113.5,113.5,100.0,13.5,127.0,133.75,0,9.7882,83.0875,57.5331,breakout,False,"not-green, no-fresh-dip",2026-07-21 21:38
RATCH.BK,38.75,38.75,34.25,4.5,43.25,45.5,0,9.7059,82.4273,54.496,breakout,False,no-fresh-dip,2026-07-21 21:38
SPRC.BK,9.75,9.75,8.0,1.75,11.5,12.375,0,16.9903,84.2758,45.7586,breakout,False,no-fresh-dip,2026-07-21 21:38
BCP.BK,45.0,45.0,35.25,9.75,54.75,59.625,0,17.8601,88.9546,41.6193,breakout,False,no-fresh-dip,2026-07-21 21:38
QH.BK,1.43,1.43,1.36,0.07,1.5,1.535,500,3.3811,68.1226,37.0206,breakout,False,no-fresh-dip,2026-07-21 21:38
TOP.BK,65.75,65.75,48.5,17.25,83.0,91.625,0,21.8882,86.8227,36.8972,breakout,False,no-fresh-dip,2026-07-21 21:38
RCL.BK,35.0,35.0,31.75,3.25,38.25,39.875,0,7.6843,69.107,34.4327,dip|breakout,True,confirmed,2026-07-21 21:38
AMATA.BK,29.25,29.25,25.25,4.0,33.25,35.25,0,7.0467,67.2295,33.6096,breakout,False,no-fresh-dip,2026-07-21 21:38
STECON.BK,19.8,19.8,17.4,2.4,22.2,23.4,0,9.6048,68.5966,31.5016,dip|breakout,True,confirmed,2026-07-21 21:38
PTT.BK,39.75,39.75,36.5,3.25,43.0,44.625,0,5.8893,77.6863,26.9351,breakout,False,no-fresh-dip,2026-07-21 21:38
JMT.BK,12.4,12.4,10.9,1.5,13.9,14.65,0,4.1043,60.031,25.8847,dip,True,confirmed,2026-07-21 21:38
EGCO.BK,135.5,135.5,120.0,15.5,151.0,158.75,0,8.0748,73.4963,24.7931,breakout,False,no-fresh-dip,2026-07-21 21:38
ERW.BK,3.2,3.2,2.9,0.3,3.5,3.65,0,5.0007,62.3316,21.18,dip|breakout,True,confirmed,2026-07-21 21:38
