ticker,asof,composite,rank,quintile,mom,trend
GLW,2026-07-16,2.0108,1,1,2.6164,0.2035
CAT,2026-07-16,1.7106,2,1,1.333,0.2242
CSCO,2026-07-16,1.3803,3,1,0.819,0.2699
BNY,2026-07-16,1.2381,4,1,0.5256,0.3081
ODFL,2026-07-16,1.1461,5,1,0.4811,0.2956
MNST,2026-07-16,1.1249,6,1,0.5818,0.2642
DOC,2026-07-16,0.7617,7,1,0.2005,0.2674
USB,2026-07-16,0.6454,8,1,0.3041,0.2105
HAL,2026-07-16,0.5864,9,1,0.8264,0.0612
WSM,2026-07-16,0.5581,10,2,0.3847,0.1671
APH,2026-07-16,0.4905,11,2,0.6033,0.0934
TROW,2026-07-16,0.4167,12,2,0.1358,0.1941
SNA,2026-07-16,0.3668,13,2,0.269,0.1469
CF,2026-07-16,0.3645,14,2,0.1386,0.1797
NSC,2026-07-16,0.2697,15,2,0.2179,0.1347
MSCI,2026-07-16,0.1003,16,2,0.1005,0.1207
ABNB,2026-07-16,0.0438,17,2,0.0177,0.1272
TPL,2026-07-16,0.025,18,2,0.1145,0.0975
L,2026-07-16,0.0087,19,3,0.2084,0.0691
TJX,2026-07-16,-0.0314,20,3,0.3913,0.0118
HPQ,2026-07-16,-0.0334,21,3,0.0547,0.0976
AXP,2026-07-16,-0.0936,22,3,0.0882,0.0733
AON,2026-07-16,-0.1446,23,3,-0.0605,0.0981
NWSA,2026-07-16,-0.1472,24,3,-0.1272,0.1146
DHI,2026-07-16,-0.1579,25,3,0.2085,0.0257
EXC,2026-07-16,-0.2433,26,3,0.114,0.0277
ADP,2026-07-16,-0.3284,27,3,-0.2306,0.0939
PG,2026-07-16,-0.3296,28,4,0.0138,0.0309
DLR,2026-07-16,-0.3478,29,4,0.1117,0.001
WY,2026-07-16,-0.3507,30,4,0.0068,0.0272
TSN,2026-07-16,-0.409,31,4,0.1241,-0.0181
COF,2026-07-16,-0.4414,32,4,-0.0829,0.0266
PEG,2026-07-16,-0.4732,33,4,0.0116,-0.006
BF-B,2026-07-16,-0.5739,34,4,0.0134,-0.0327
PGR,2026-07-16,-0.6057,35,4,-0.1056,-0.0104
VLTO,2026-07-16,-0.6341,36,4,-0.1778,0.0007
IDXX,2026-07-16,-0.6782,37,5,0.0823,-0.0775
XYL,2026-07-16,-0.7064,38,5,-0.1331,-0.0296
ALLE,2026-07-16,-0.863,39,5,-0.0741,-0.0855
ARE,2026-07-16,-0.8732,40,5,-0.2906,-0.0327
CMG,2026-07-16,-0.9678,41,5,-0.3933,-0.031
HCA,2026-07-16,-1.0136,42,5,0.0539,-0.1576
ADBE,2026-07-16,-1.53,43,5,-0.4334,-0.1672
PODD,2026-07-16,-2.1547,44,5,-0.4892,-0.3157
