ticker,asof,quintile,composite,close,distPct,rsi,adx,stop,t1,t2,size,signals
MNST,2026-07-16,1.0,1.1249,99.94000244140625,4.21,70.2,42.8,94.7300033569336,105.1500015258789,107.75500106811523,85,breakout|trend
TJX,2026-07-16,3.0,-0.0314,154.7899932861328,0.22,49.1,23.9,148.27000427246094,161.3099822998047,164.56997680664062,46,reclaim|trend
WY,2026-07-16,4.0,-0.3507,24.450000762939453,2.46,55.5,14.6,22.43000030517578,26.470001220703125,27.48000144958496,111,trend
A,2026-07-16,,,136.10000610351562,2.91,61.3,16.8,127.45999908447266,144.7400131225586,149.06001663208008,34,trend
AEE,2026-07-16,,,113.0999984741211,0.67,53.1,21.5,111.0,115.19999694824219,116.24999618530273,142,reclaim|trend
AIG,2026-07-16,,,78.02999877929688,0.52,53.0,19.6,76.5,79.55999755859375,80.32499694824219,196,reclaim|trend
AMGN,2026-07-16,,,371.5799865722656,3.53,62.8,13.9,353.95001220703125,389.2099609375,398.0249481201172,17,trend
ATO,2026-07-16,,,178.0399932861328,1.64,56.3,20.0,173.05999755859375,183.01998901367188,185.5099868774414,60,trend
BMY,2026-07-16,,,60.5099983215332,5.43,61.1,17.7,56.40999984741211,64.6099967956543,66.65999603271484,73,trend
CRL,2026-07-16,,,229.16000366210938,4.87,66.8,35.5,218.38999938964844,239.9300079345703,245.31501007080078,27,trend
CSX,2026-07-16,,,50.88999938964844,4.83,72.0,23.5,48.06999969482422,53.709999084472656,55.119998931884766,106,dip|breakout|trend
DE,2026-07-16,,,598.969970703125,0.38,52.0,20.8,576.4500122070312,621.4899291992188,632.7499084472656,13,reclaim|trend
DGX,2026-07-16,,,209.41000366210938,1.65,57.3,25.1,201.1199951171875,217.70001220703125,221.8450164794922,36,reclaim|trend
DOV,2026-07-16,,,217.50999450683594,0.38,50.8,15.0,208.8300018310547,226.1899871826172,230.5299835205078,34,reclaim|trend
EXPD,2026-07-16,,,181.9600067138672,7.53,76.9,28.1,163.2100067138672,200.7100067138672,210.0850067138672,16,trend
GRMN,2026-07-16,,,250.99000549316406,3.97,63.3,14.7,237.85000610351562,264.1300048828125,270.7000045776367,22,breakout|trend
ITW,2026-07-16,,,282.9700012207031,5.53,70.0,29.9,263.54998779296875,302.3900146484375,312.1000213623047,15,dip|breakout|trend
LLY,2026-07-16,,,1169.1700439453125,0.05,52.9,25.2,1134.4000244140625,1203.9400634765625,1221.3250732421875,8,reclaim|trend
LUV,2026-07-16,,,49.43000030517578,1.97,57.9,28.6,47.16999816894531,51.69000244140625,52.820003509521484,132,trend
MAS,2026-07-16,,,80.13999938964844,3.56,60.2,20.6,75.51000213623047,84.7699966430664,87.08499526977539,64,trend
MPC,2026-07-16,,,305.8500061035156,10.58,75.5,30.4,261.57000732421875,350.1300048828125,372.27000427246094,6,trend
NTRS,2026-07-16,,,188.52000427246094,4.6,69.2,28.3,174.5399932861328,202.50001525878906,209.49002075195312,21,trend
NVDA,2026-07-16,,,207.39999389648438,1.27,52.1,15.5,191.13999938964844,223.6599884033203,231.78998565673828,18,trend
SCHW,2026-07-16,,,102.80000305175781,4.95,69.1,26.8,96.20999908447266,109.39000701904297,112.68500900268555,45,trend
SO,2026-07-16,,,96.06999969482422,0.66,53.4,16.8,94.45999908447266,97.68000030517578,98.48500061035156,186,reclaim|trend
SPG,2026-07-16,,,228.49000549316406,3.65,65.1,21.5,212.82000732421875,244.16000366210938,251.99500274658203,19,trend
VRTX,2026-07-16,,,486.0299987792969,0.45,53.7,28.4,469.6000061035156,502.4599914550781,510.67498779296875,18,reclaim|trend
WAT,2026-07-16,,,378.19000244140625,1.72,58.2,21.4,367.05999755859375,389.32000732421875,394.885009765625,26,trend
